lon,lat,,,,
-78.1226322205617,0.324514498367326,,,,
-78.1226199596153,0.324590765346349,,,,
-78.122607698669,0.324667032325372,,,,
-78.1225954377226,0.324743299304396,,,,
-78.1225831767762,0.324819566283419,,,,
-78.1225709158299,0.324895833262442,,,,
-78.1225586548835,0.324972100241465,,,,
-78.1225463939372,0.325048367220488,,0.000196175141795,1.2260946362197E-05,lon
-78.1225341329908,0.325124634199512,,0.001220271664371,7.62669790231873E-05,lat
-78.1225218720444,0.325200901178535,,,,
-78.1225096110981,0.325277168157558,,,,
-78.1224973501517,0.325353435136581,,,,
-78.1224850892053,0.325429702115604,,,,
-78.122472828259,0.325505969094627,,,,
-78.1224605673126,0.325582236073651,,,,
-78.1224483063662,0.325658503052674,,,,
-78.1224360454199,0.325734770031697,,,,
